"","track_name","artist.s._name","released_year","released_month","in_spotify_playlists","listas_spotify_log","bpm","porcentaje_bailable","porcentaje_energia","porcentaje_acustica","porcentaje_instrumental","porcentaje_voz","porcentaje_envivo","modo","valencia","clave_sol"
"73","golden hour","JVKE",2022,7,4511,8.4142741374084,94,51,59,65,18,3,25,"Minor",14,0
"74","Sweater Weather","The Neighbourhood",2012,5,16413,9.70582898273194,124,61,81,5,2,3,10,"Major",41,0
"75","Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2022,7,8506,9.04852707581358,128,62,78,1,3,4,23,"Major",55,0
"76","Viva La Vida","Coldplay",2008,1,33898,10.431111294578,138,49,62,9,0,3,11,"Minor",42,0
"77","Here With Me","d4vd",2022,7,3246,8.08517874807454,132,58,48,50,0,3,12,"Major",27,0
"78","Unholy (feat. Kim Petras)","Sam Smith, Kim Petras",2022,9,8576,9.05672288331058,131,71,47,1,0,9,27,"Major",24,0
"79","Yandel 150","Yandel, Feid",2022,12,3618,8.19367666595524,168,78,73,5,0,7,10,"Minor",58,0
"80","CORAZï¿½ï¿½N VA","Maria Becerra",2023,6,370,5.91350300563827,98,68,79,33,0,6,30,"Major",40,0
"81","Riptide","Vance Joy",1975,1,31123,10.3457023746743,102,48,73,43,0,4,15,"Major",50,0
"82","Until I Found You (with Em Beihold) - Em Beihold Version","Em Beihold, Stephen Sanchez",2022,4,2790,7.93379687481541,101,34,57,78,0,3,20,"Major",32,0
"83","Novidade na ï¿½ï¿","Mc Livinho, DJ Matt D",2023,6,267,5.58724865840025,130,63,34,76,0,9,35,"Major",36,0
"84","Back To December (Taylor's Version)","Taylor Swift",2023,7,139,4.93447393313069,142,50,64,1,0,3,12,"Major",20,0
"85","STAY (with Justin Bieber)","Justin Bieber, The Kid Laroi",2021,7,17050,9.74390548271166,170,59,76,4,0,5,10,"Major",48,0
"86","El Merengue","Marshmello, Manuel Turizo",2023,3,2114,7.65633716643018,124,78,68,3,1,4,11,"Minor",70,0
"87","Someone You Loved","Lewis Capaldi",2018,11,17836,9.78897416574737,110,50,41,75,0,3,11,"Major",45,0
"88","Me Porto Bonito","Chencho Corleone, Bad Bunny",2022,5,8870,9.09043007530363,92,91,71,9,0,8,9,"Minor",43,0
"89","Makeba","Jain",2015,6,6060,8.70946507906336,116,82,66,39,51,7,25,"Major",40,0
"90","MONTAGEM - FR PUNK","Ayparia, unxbected",2012,6,641,6.46302945692067,129,63,82,70,8,7,9,"Major",84,0
"91","Fast Car","Luke Combs",2023,3,1446,7.27655640271871,98,71,60,19,0,3,12,"Major",67,0
"92","What It Is (Solo Version)","Doechii",2023,3,804,6.68959926917897,172,74,76,6,0,9,10,"Minor",76,0
"93","Coco Chanel","Bad Bunny, Eladio Carrion",2023,3,1962,7.58171964012531,150,68,76,4,0,4,10,"Major",14,0
"94","Donï¿½ï¿½ï¿½t Bl","Taylor Swift",2017,11,4875,8.49187538343195,136,62,53,11,0,4,6,"Minor",19,0
"95","Still With You","Jung Kook",2020,6,31,3.43398720448515,88,53,47,9,0,4,83,"Minor",34,0
"96","All My Life (feat. J. Cole)","J. Cole, Lil Durk",2023,5,2175,7.68478394352278,143,83,44,15,0,33,10,"Major",69,0
"97","Say Yes To Heaven","Lana Del Rey",2023,3,2000,7.60090245954208,100,49,35,71,9,3,11,"Minor",17,0
"98","Snooze","SZA",2022,12,2839,7.95120715647297,143,56,55,14,0,13,11,"Major",39,0
"99","Summertime Sadness","Lana Del Rey",2011,1,20333,9.92000046091034,112,56,66,7,0,3,12,"Minor",24,0
"100","Take Two","BTS",2023,6,674,6.51323011091231,93,62,59,3,0,3,38,"Major",57,1
"101","Lover","Taylor Swift",2012,1,8448,9.04168500594604,206,43,55,50,0,10,15,"Major",50,1
"102","Too Many Nights (feat. Don Toliver & with Future)","Future, Metro Boomin, Don Toliver",2022,12,2110,7.65444322647011,88,68,71,15,0,5,11,"Minor",17,1
"103","Chemical","Post Malone",2023,4,2528,7.83518375526675,170,50,90,0,0,5,12,"Major",37,0
"104","Mockingbird","Eminem",2004,1,12985,9.47155012409685,84,62,67,21,0,28,13,"Minor",24,0
"105","New Jeans","NewJeans",2023,7,77,4.34380542185368,134,81,72,51,0,5,12,"Minor",53,0
"106","Primera Cita","Carin Leon",2022,4,266,5.5834963087817,158,54,40,61,0,6,10,"Major",50,0
"107","Cold Heart - PNAU Remix","Dua Lipa, Elton John, Pnau",2017,11,21097,9.95688612926082,116,80,80,4,0,3,10,"Major",92,0
"108","Dandelions","Ruth B.",2017,4,3423,8.13827263853019,117,61,69,2,0,3,9,"Major",45,0
"109","Bones","Imagine Dragons",2021,3,4198,8.34236350038058,114,77,72,2,0,5,7,"Minor",65,0
"110","Set Fire to the Rain","Adele",2011,1,14739,9.59825232083676,108,61,68,0,0,3,13,"Minor",47,0
"111","Money Trees","Kendrick Lamar, Jay Rock",2012,1,26792,10.195858614474,144,74,53,7,0,10,21,"Minor",37,0
"112","Tak Segampang Itu","Anggi Marito",2022,12,213,5.36129216570943,130,51,44,76,0,3,11,"Major",18,0
"113","LAGUNAS","Jasiel Nuï¿½ï¿½ez, Peso P",2023,6,58,4.06044301054642,116,77,62,33,1,3,15,"Major",79,0
"114","Mine (Taylor's Version)","Taylor Swift",2023,7,99,4.59511985013459,121,65,78,0,0,4,17,"Major",49,1
"115","Everybody Wants To Rule The World","Tears For Fears",1985,2,41751,10.639478682088,112,64,81,36,0,6,11,"Major",54,1
"116","No Role Modelz","J. Cole",2014,12,21164,9.96005690402402,100,70,52,30,0,33,6,"Minor",47,0
"117","Tattoo","Loreen",2023,2,2988,8.00235954625271,150,55,78,24,0,8,12,"Minor",30,0
"118","Rara Vez","Taiu, Milo j",2023,2,893,6.7945865808765,120,84,71,18,0,17,34,"Minor",96,0
"119","VAGABUNDO","Sebastian Yatra, Manuel Turizo, Beï¿½ï",2023,5,1094,6.99759598298193,127,82,85,4,0,6,23,"Minor",89,0
"120","august","Taylor Swift",2020,7,7324,8.8989119057944,90,51,61,53,0,3,9,"Major",42,0
"121","LUNA","Junior H, Peso Pluma",2023,6,201,5.30330490805908,128,75,63,33,0,4,15,"Minor",79,0
"122","Miracle (with Ellie Goulding)","Calvin Harris, Ellie Goulding",2023,3,5120,8.54090971803355,143,64,87,4,4,4,8,"Major",31,0
"123","Nonsense","Sabrina Carpenter",2022,7,2346,7.76046702921342,139,74,68,3,0,4,26,"Major",68,0
"124","Que Vuelvas","Carin Leon, Grupo Frontera",2022,12,763,6.63725803128446,162,49,64,19,0,4,11,"Major",78,0
"125","Por las Noches","Peso Pluma",2021,6,457,6.12468339089421,92,81,60,31,0,3,7,"Major",39,0
"126","Feliz Cumpleaï¿½ï¿½os Fe","Feid",2022,8,3430,8.14031554015999,95,87,55,10,0,7,29,"Major",57,0
"127","Can't Hold Us (feat. Ray Dalton)","Ray Dalton, Ryan Lewis, Macklemore",2011,8,6074,8.71177264560569,146,63,93,3,0,8,10,"Major",88,0
"128","Watermelon Sugar","Harry Styles",2019,11,21915,9.99492661285291,95,55,82,12,0,5,34,"Major",56,0
"129","lovely - Bonus Track","Billie Eilish, Khalid",2017,8,15032,9.6179365410933,115,35,30,93,0,3,10,"Minor",12,0
"130","Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2023,6,871,6.7696419768525,128,78,65,10,0,5,26,"Major",59,0
"131","Queencard","(G)I-DLE",2023,5,451,6.11146733950268,130,82,83,3,0,5,27,"Minor",69,0
"132","OMG","NewJeans",2023,1,1783,7.48605261786314,127,80,77,36,0,4,11,"Minor",74,0
"133","Radio","Lana Del Rey",2011,1,9389,9.14729407025855,150,42,86,21,0,9,9,"Major",20,0
"134","Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2023,1,5724,8.65242314067634,122,78,63,27,0,5,9,"Minor",50,0
"135","505","Arctic Monkeys",2007,4,13985,9.54574060563606,140,52,85,0,0,5,7,"Major",20,0
"136","Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",2023,6,1051,6.95749737087695,140,63,54,46,0,8,12,"Major",22,0
"137","Trance (with Travis Scott & Young Thug)","Travis Scott, Young Thug, Metro Boomin",2022,12,1682,7.42773884053289,119,75,53,18,0,34,18,"Minor",48,0
"138","Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",2023,5,182,5.2040066870768,110,76,72,32,0,4,9,"Minor",96,1
"139","Perfect","Ed Sheeran",2017,1,16596,9.71691698145276,95,60,45,16,0,2,11,"Major",17,0
"140","Romantic Homicide","d4vd",2022,7,2335,7.755767170103,132,56,55,45,1,3,32,"Major",20,0
